sample	label
1	FLT3_TKD.WT
2	FLT3_TKD.WT
3	FLT3_TKD.WT
4	FLT3_TKD.WT
5	FLT3_TKD.WT
6	FLT3_TKD.WT
7	FLT3_TKD.WT
8	FLT3_TKD.WT
9	FLT3_TKD.WT
10	FLT3_TKD.WT
11	FLT3_TKD.WT
12	FLT3_TKD.WT
13	FLT3_TKD.WT
14	FLT3_TKD.WT
15	FLT3_TKD.WT
16	FLT3_TKD.WT
17	FLT3_TKD.WT
18	FLT3_TKD.Mutant
19	FLT3_TKD.WT
20	FLT3_TKD.WT
21	FLT3_TKD.WT
22	FLT3_TKD.WT
23	FLT3_TKD.WT
24	FLT3_TKD.WT
25	FLT3_TKD.WT
26	FLT3_TKD.Mutant
27	FLT3_TKD.Mutant
28	FLT3_TKD.Mutant
29	FLT3_TKD.WT
30	FLT3_TKD.WT
31	FLT3_TKD.WT
32	FLT3_TKD.WT
33	FLT3_TKD.WT
34	FLT3_TKD.WT
35	FLT3_TKD.WT
36	FLT3_TKD.WT
37	FLT3_TKD.WT
38	FLT3_TKD.WT
39	FLT3_TKD.WT
40	FLT3_TKD.Mutant
41	FLT3_TKD.WT
42	FLT3_TKD.WT
43	FLT3_TKD.WT
44	FLT3_TKD.WT
45	FLT3_TKD.WT
46	FLT3_TKD.WT
